paper_id,dataset_clarity,protocol_clarity,subject_independent_validity,train_val_test_separation,preproc_inside_cv,hyperparam_selection_clarity,target_data_usage_disclosure,statistical_reporting,baseline_strength,reproducibility_code,leakage_risk_item,affective_theory_relevance,total_score,max_score,percent,quality_band,fatal_flag,fatal_reason,notes
EEG-0001,2,2,2,1,1,1,2,2,1,1,1,2,18,24,75.0,Moderate,no,,full text; inductive LOSO; feature-selection vs CV boundary unclear (items 5/11); only feature-selection-variant baselines (no strong DL)
EEG-0002,2,2,2,1,1,1,2,2,2,2,1,2,20,24,83.3,High,no,,"full text; LOSO + NodeDAT (transductive, disclosed - not leakage); code on GitHub; strong baselines"
EEG-0003,2,2,2,1,1,1,2,2,1,1,1,2,18,24,75.0,Moderate,no,,UPGRADED to full text (IJCAI 388.pdf root-folder PDF): Table 1 TPT 76.31/15.89 (best of 5); generic 56.73; explicit transductive LOSO; mean+SD+ANOVA+per-subject reported; weak (classical) baselines; no code
EEG-0004,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,UPGRADED to full text (AAAI-21 PDF): Table 2 PPDA(Few) 86.7/7.1; strong DA/DG baselines (DANN/DAN/WGANDA/DResNet/DICA); few unlabeled-target calibration disclosed; no public code; just below High (code item)
EEG-0005,1,2,2,1,1,1,2,2,1,1,1,2,17,24,70.8,Moderate,no,,value verified from RGNN full-text reproduction (common protocol); DGCNN primary IEEE TAFFC 11(3):532-541 2018 uses SEED+DREAMER so SEED-IV is RGNN repro; DGCNN own internals unread (items 5/6/10)
EEG-0006,2,2,2,1,1,1,2,2,2,2,1,2,20,24,83.3,High,no,,full text; multisource transductive DA (disclosed); code on GitHub; strong baselines
EEG-0007,1,2,2,1,1,1,2,2,1,1,1,2,17,24,70.8,Moderate,no,,value verified from RGNN full-text reproduction; BENCHMARK-AMBIGUITY case (subj-dep BiDANN ~92-97 vs subj-indep BiDANN-S 84.14); BiDANN own internals unread
EEG-0008,2,2,2,1,1,1,2,2,2,1,1,2,19,24,79.2,Moderate,no,,UPGRADED to full text (arXiv 1906.01704); self-reported 85.40/7.53 & 69.03/8.66 match RGNN Table II; venue confirmed IEEE TCDS vol13 2021; domain discriminator (transductive)
EEG-0014,2,2,2,0,1,0,1,2,2,1,1,2,16,24,66.7,Moderate,no,,full text; INDUCTIVE but model/epoch selection appears to use the held-out (TEST) subject as validation -> model-selection leakage (items 4/6/11); verify exact protocol at full text
EEG-0015,2,2,2,1,1,1,2,1,2,1,1,2,18,24,75.0,Moderate,no,,full text; PREPRINT (peer-review reconfirm); SEED LOSO + FACED leave-n-subject-out (n=12); per-cell SD not captured; FACED subject/class counts to verify
