search_id,date_run,database,query_string,filters_applied,hits_returned,records_exported,source_type,run_by,notes
S001,2026-06-24,WebSearch,DEAP dataset EEG emotion 32 participants 32 channels 512 Hz valence arousal Koelstra primary paper,none,10,0,dataset-verification,Claude,"Verified DEAP properties from QMUL official page + IEEE TAFFC 2012; not a literature-screening run"
S002,2026-06-24,WebSearch,SEED dataset EEG emotion recognition 15 subjects 62 channels film clips positive negative neutral Zheng Lu primary paper,none,10,0,dataset-verification,Claude,"Verified SEED via BCMI SJTU official page; primary ref IEEE TAMD 2015"
S003,2026-06-24,WebFetch,https://bcmi.sjtu.edu.cn/home/seed/seed.html,none,1,0,dataset-verification,Claude,"Confirmed SEED: 15 subj / 3 sessions / 62 ch / raw 1000Hz downsampled 200Hz / 3 classes"
S004,2026-06-24,WebSearch,SEED-IV dataset EEG four emotions happy sad fear neutral 15 subjects 3 sessions 62 channels Zheng primary paper,none,10,0,dataset-verification,Claude,"Verified SEED-IV: 15 subj / 3 sessions / 24 trials / 62 ch / 4 classes; Zheng EmotionMeter 2018"
S005,2026-06-24,WebSearch,DREAMER dataset EEG ECG emotion 23 subjects 14 channels Emotiv valence arousal dominance Katsigiannis Ramzan paper,none,10,0,dataset-verification,Claude,"Verified DREAMER: 23 subj / 14 ch Emotiv / 128Hz / 18 clips / VAD; IEEE JBHI 2018"
S006,2026-06-24,WebSearch,AMIGOS dataset EEG emotion 40 participants 14 channels Emotiv valence arousal short long videos Correa Abadi Sebe Patras paper,none,10,0,dataset-verification,Claude,"Verified AMIGOS: 40 part / 14 ch Emotiv / short+long videos; IEEE TAFFC 2018"
S007,2026-06-24,WebSearch,MAHNOB-HCI dataset 27 participants 32 EEG channels 256 Hz video stimuli emotion Soleymani Lichtenauer Pun Pantic paper,none,10,0,dataset-verification,Claude,"Verified MAHNOB-HCI: 27 part / 32 ch / 256Hz / 20 video trials; IEEE TAFFC 2012"
S008,2026-06-24,WebSearch,EEG emotion recognition domain adaptation SEED cross-subject DANN DGCNN subject-independent accuracy,2010-present,10,4,literature-screening,Claude,"Seed pass; surfaced DGCNN/DANN/BiDANN family + multi-source DA candidates"
S009,2026-06-24,WebSearch,cross-subject EEG emotion recognition leave-one-subject-out SEED DEAP deep learning accuracy paper,2010-present,10,3,literature-screening,Claude,"Surfaced Li et al. 2018 Frontiers cross-subject study + recent LOSO works"
S010,2026-06-24,WebSearch,EEG emotion recognition transfer component analysis subject transfer Zheng Lu personalizing SEED accuracy,2010-present,10,2,literature-screening,Claude,"Surfaced Zheng & Lu Personalizing (IJCAI 2016) + PPDA (AAAI 2021)"
S011,2026-06-24,WebFetch,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2018.00162/full,none,1,1,extraction-verification,Claude,"Verified Li et al. 2018: LOSO SEED 0.8333/0.1016, DEAP 0.5906/0.0868; SVM+RFE"
S012,2026-06-24,WebSearch,RGNN regularized graph neural network EEG emotion Zhong subject-independent SEED SEED-IV accuracy NodeDAT EmotionDL,2010-present,10,1,literature-screening,Claude,"Identified Zhong et al. 2020 IEEE TAFFC (RGNN); arXiv 1907.07835"
S013,2026-06-24,WebFetch,https://ar5iv.labs.arxiv.org/html/1907.07835,none,1,1,extraction-verification,Claude,"Verified RGNN subject-independent SEED 85.30/06.72, SEED-IV 73.84/08.02 (Table II)"
S014,2026-06-24,WebSearch,Plug-and-Play Domain Adaptation cross-subject EEG emotion AAAI 2021 Zhao SEED accuracy leave-one-subject-out standard deviation,2010-present,10,1,literature-screening,Claude,"PPDA SEED ~86.7/0.071 (secondary); also surfaced competing review arXiv:2212.08744"
S015,2026-06-24,WebFetch,https://arxiv.org/abs/2212.08744,none,1,1,related-work,Claude,"Apicella et al. 2024 Neurocomputing review (75 papers); no meta-analysis/no leakage taxonomy - excluded as non-primary, kept for Related Work"
S016,2026-06-24,WebSearch,BiDANN bi-hemisphere domain adversarial neural network EEG emotion SEED subject-independent accuracy Li Zheng IEEE Transactions Affective Computing,2010-present,10,1,literature-screening,Claude,"Identified BiDANN/BiDANN-S (Li et al. 2018 IEEE TAFFC); flagged subject-dependent vs subject-independent ambiguity"
S017,2026-06-24,WebSearch,domain generalization EEG emotion recognition cross-dataset unseen subject SEED DEAP accuracy 2022 2023,2010-present,10,4,literature-screening,Claude,"Surfaced SDC-Net/HEDN/source-free SFDA/local-DG candidates; cross-dataset SEED<->DEAP numbers (secondary)"
S018,2026-06-24,WebSearch,cross-subject EEG emotion recognition DEAP deep learning subject-independent leave-one-subject-out CNN accuracy valence arousal,2010-present,10,1,literature-screening,Claude,"DEAP subject-independent landscape; meta-transfer + lightweight DANN-KD candidates; corroborated Li 2018 DEAP 59.06"
S019,2026-06-24,WebSearch,MS-MDA multisource marginal distribution adaptation EEG emotion cross-subject cross-session SEED SEED-IV accuracy Chen Frontiers,2010-present,10,1,literature-screening,Claude,"Located MS-MDA primary (Frontiers 2021; arXiv 2107.07740; code on GitHub)"
S020,2026-06-24,WebFetch,https://ar5iv.labs.arxiv.org/html/2107.07740,none,1,1,extraction-verification,Claude,"Verified MS-MDA: cross-subject SEED 89.63/6.79 SEED-IV 59.34/5.48; cross-session SEED 88.56/7.80 SEED-IV 61.43/15.71; transductive LOSO"
S021,2026-06-24,WebFetch,https://ar5iv.labs.arxiv.org/html/1907.07835,none,1,4,extraction-verification,Claude,"RGNN Table II common-protocol subject-independent baselines: DGCNN 79.95/9.02|52.82/9.23; DAN 83.81/8.56|58.87/8.13; BiDANN-S 84.14/6.87|65.59/10.39; BiHDM 85.40/7.53|69.03/8.66"
S022,2026-06-24,WebSearch,cross-subject EEG emotion recognition DREAMER leave-one-subject-out subject-independent valence arousal accuracy deep learning,2010-present,10,2,literature-screening,Claude,"DREAMER LOSO candidates: MTLFuseNet (DEAP+DREAMER) SOGNN(no DREAMER); EmT; GCB-net"
S023,2026-06-24,WebSearch,cross-subject subject-independent EEG emotion recognition AMIGOS leave-one-subject-out valence arousal accuracy,2010-present,10,0,literature-screening,Claude,"AMIGOS cross-subject LOSO sparse; no cleanly verifiable per-dataset LOSO primary surfaced - logged as coverage gap"
S024,2026-06-24,WebSearch,DEAP cross-subject EEG emotion domain adaptation subject-independent LOSO valence arousal accuracy 2021 2022,2010-present,10,1,literature-screening,Claude,"DEAP subject-independent landscape (FLADA/DASC/meta-learning); many <75pct LOSO"
S025,2026-06-24,WebFetch,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.611653/full,none,1,1,extraction-verification,Claude,"Verified SOGNN (Li et al. 2021): INDUCTIVE LOSO SEED 86.81/5.79 SEED-IV 75.27/8.19; uses SEED+SEED-IV only (not DREAMER)"
S026,2026-06-24,WebFetch,https://ar5iv.labs.arxiv.org/html/2406.18345,none,1,1,extraction-verification,Claude,"Verified EmT (Ding et al. 2024): inductive; SEED LOSO acc 0.802/F1 0.821; FACED LnSO(n=12) acc 0.608; datasets SEED/THU-EP/FACED/MAHNOB (no AMIGOS/DREAMER)"
S027,2026-06-24,WebFetch,https://arxiv.org/abs/2102.03777,none,1,1,extraction-verification,Claude,"EEGFuseNet venue corrected to IEEE TNSRE 2021 (not TAFFC); authors Liang et al.; DEAP 72.81 not confirmable from abs - secondary"
S028,2026-06-24,WebSearch,MTLFuseNet DREAMER subject-independent leave-one-subject-out valence arousal dominance accuracy Knowledge-Based Systems 2023,2010-present,10,1,extraction-verification,Claude,"MTLFuseNet DREAMER subject-independent valence 80.43 arousal 83.33 (secondary - reconfirm KBS full text)"
S029,2026-06-24,WebFetch,https://ar5iv.labs.arxiv.org/html/1906.01704,none,1,1,primary-reconfirmation,Claude,"BiHDM UPGRADED to full text: self-reported subj-indep SEED 85.40/7.53 SEED-IV 69.03/8.66 (matches RGNN); authors confirmed; venue IEEE TCDS vol13 2021; domain discriminator (transductive)"
S030,2026-06-24,WebFetch,https://www.ijcai.org/Proceedings/16/Papers/388.pdf,none,1,0,primary-reconfirmation,Claude,"Zheng&Lu 2016 primary located but PDF binary - not machine-read; 76.31/56.73 stays secondary (corroborated by 3+ sources)"
S031,2026-06-24,WebFetch,https://arxiv.org/abs/2102.03777,none,1,0,primary-reconfirmation,Claude,"EEGFuseNet abstract does NOT state 72.81 and does not name datasets; 72.81 stays single-secondary; venue confirmed IEEE TNSRE"
S032,2026-06-24,WebSearch,A Novel Bi-hemispheric Discrepancy Model BiHDM arXiv venue IEEE TCDS 2020 subject-independent SEED accuracy,2010-present,8,1,primary-reconfirmation,Claude,"Located BiHDM arXiv 1906.01704; venue IEEE TCDS vol13 2021 (ADS 2021ITCDS..13..354L)"
S033,2026-06-24,WebSearch,DGCNN Dynamical Graph Convolutional Neural Networks Song 2018 subject-independent SEED accuracy,2010-present,10,1,primary-reconfirmation,Claude,"DGCNN primary IEEE TAFFC 11(3):532-541 2018; uses SEED+DREAMER (not SEED-IV); SEED-IV subj-indep is RGNN reproduction"
