record_id,doi,year,venue,title,llm_decision_raw,llm_decision_mapped,llm_reason,reviewer_decision,reviewer_reason_code,reviewer_notes,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note,adjudicator_decision,adjudicator_reason_code,adjudicator_notes,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note
SCR-0032,10.1007/s11571-024-10193-y,2025,COGNITIVE NEURODYNAMICS,Multi-view domain adaption based multi-scale convolutional conditional invertible discriminator,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,,,,exclude,exclude ,subject-dependent-only,,,
SCR-0048,10.1007/s12559-022-10077-5,2023,COGNITIVE COMPUTATION,Accurate Emotion Recognition Utilizing Extracted EEG Sources as Graph Neural Network Nodes,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,private-insufficient,,,,exclude,exclude ,private-insufficient,,,
SCR-0049,10.1007/s12559-023-10171-2,2024,COGNITIVE COMPUTATION,A Fuzzy Ensemble-Based Deep learning Model for EEG-Based Emotion Recognition,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,yes,subject-mixed-kfold,claims subject-independent but uses 60/20/20 split (no subject-level separation),exclude,exclude ,subject-dependent-only,,,
SCR-0058,10.1007/s40998-024-00710-4,2024,IRANIAN JOURNAL OF SCIENCE AND TECHNOL,Enhancing Emotion Detection with Non-invasive Multi-Channel EEG and Hybrid Deep Learning Archit,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,insufficient-info,,,,exclude,exclude ,insufficient-info,,,
SCR-0060,10.1007/s42452-026-08583-4,2026,DISCOVER APPLIED SCIENCES,Exploring principal component analysis and convolutional neural network (PCA-CNN) based archite,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,,,,include-candidate,include-candidate,EEG cross-subject emotion (journal),,,
SCR-0061,10.1007/s42486-025-00219-7,2026,CCF TRANSACTIONS ON PERVASIVE COMPUTIN,Music emotion interaction system based on brain-computer interface: a hybrid deep learning and ,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,private-insufficient,,,,exclude,exclude ,private-insufficient,,,
SCR-0063,10.1007/s42979-024-02762-z,2024,SN Computer Science,A Resilient Overlay for Human Emotion Recognition Using Mixed Frameworks in Machine-Human Inter,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,private-insufficient,,,,exclude,exclude ,private-insufficient,,,
SCR-0068,10.1007/s44443-025-00441-4,2026,JOURNAL OF KING SAUD UNIVERSITY COMPUT,MEF-net: A generalized hybrid multi-entropy feature fusion neural network model for cross-subje,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,unclear,,insufficient protocol text extracted from PDF,exclude,exclude ,insufficient-info,,,
SCR-0070,10.1016/j.aei.2024.102522,2024,ADVANCED ENGINEERING INFORMATICS,Light-weight residual convolution-based capsule network for EEG emotion recognition,exclude,exclude,not-cross-subject,include-candidate,include,EEG cross-subject emotion (journal),,,,include-candidate,include,EEG cross-subject emotion (journal),,,
SCR-0074,10.1016/j.apacoust.2020.107840,2021,APPLIED ACOUSTICS,A new approach to recognition of human emotions using brain signals and music stimuli,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,private-insufficient,,,,exclude,exclude ,private-insufficient,,,
SCR-0075,10.1016/j.array.2026.100950,2026,ARRAY,Integration of artificial intelligence and graph neural networks (GNN) for modeling human emoti,include-candidate,include-candidate,EEG cross-subject emotion (journal),exclude,exclude ,subject-dependent-only,,,,exclude,exclude ,subject-dependent-only,,,
