reviewer_row_id,paper_id,title,dataset_name,metric,result_mean,result_sd,include_meta,primary_result,target_data_used,target_labels_used,risk_rating,protocol_label_match,target_access_verified,protocol_audit_decision,reviewer_protocol_confidence,reviewer_source_location,reviewer_notes,adjudicator_include_meta,adjudicator_primary_result,adjudicator_target_access_verified,adjudicator_protocol_audit_decision,adjudicator_risk_rating,adjudicator_result_mean,adjudicator_result_sd,adjudicator_source_location,adjudicator_notes
HME-0025,EEG-0042,PR-PL: A Novel Transfer Learning Framework with Prototypical Representation based Pairwise Learning for EEG-Based Emotion Recognition,SEED,accuracy,93.18,6.55,yes,yes,unlabeled-target (transductive; pseudo-labels),no,moderate,partial-match,unlabeled-target-data,needs-adjudication,moderate,Abstract & results (multiple protocol tables),PR-PL. NOTE: EEG-0042 (arXiv preprint) and EEG-0340 (TAFFC journal) appear to be the SAME work -> double-counting risk.,no,no,unlabeled-target-data,exclude-from-cross-subject-meta,moderate,85.56,4.78,Table VI,Duplicate of EEG-0340 journal version; exclude this preprint row to avoid double counting. Values appear correct but not retained.
HME-0026,EEG-0042,PR-PL: A Novel Transfer Learning Framework with Prototypical Representation based Pairwise Learning for EEG-Based Emotion Recognition,SEED-IV,accuracy,74.62,14.15,yes,no,unlabeled-target (transductive; pseudo-labels),no,moderate,partial-match,unlabeled-target-data,needs-adjudication,moderate,Abstract & results (multiple protocol tables),Same work as EEG-0340 (double-counting risk).,no,no,unlabeled-target-data,exclude-from-cross-subject-meta,moderate,74.92,7.92,Table VII,Duplicate of EEG-0340 journal version; exclude this preprint row to avoid double counting. Values appear correct but not retained.
HME-0029,EEG-0053,Cross-dataset EEG emotion recognition based on pre-trained Vision Transformer considering emotional sensitivity diversity,SEED,accuracy,93.14,5,yes,yes,unlabeled-target (transductive),no,moderate,match,unlabeled-target-data,"needs-adjudication (cross-dataset, not cross-subject)",moderate,"Abstract (highest: SEED 93.14, SEED-IV 83.18, DEAP 93.53, FACED 92.55)","PESD CROSS-DATASET SEED 93.14 (not cross-subject LOSO). DEAP cross-dataset 93.53 (HIGH), FACED 92.55.",yes,yes,unlabeled-target (transductive),pool-with-cross-subject,moderate,87.02,4.36,Table 2,pool-with-cross-subject
HME-0030,EEG-0053,Cross-dataset EEG emotion recognition based on pre-trained Vision Transformer considering emotional sensitivity diversity,SEED-IV,accuracy,83.18,24.58,yes,no,unlabeled-target (transductive),no,moderate,match,unlabeled-target-data,"needs-adjudication (cross-dataset, not cross-subject)",moderate,"Abstract (highest: SEED 93.14, SEED-IV 83.18, DEAP 93.53, FACED 92.55)",PESD CROSS-DATASET SEED-IV 83.18.,yes,yes,unlabeled-target (transductive),pool-with-cross-subject,moderate,79.47,25.89,Table 2,pool-with-cross-subject
HME-0050,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,SEED,accuracy,95.36,3.03,yes,yes,"labeled target (few-shot, 10-shot)","yes (few-shot, ~8% labeled target)",moderate,partial-match,target-labels,needs-adjudication,high,"Table II (FACE 10-shot: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23)",FACE SEED 10-shot 95.36/3.03 - FEW-SHOT (uses labeled target); flag. Abstract 96.72.,yes,yes,target-labels,reclassify,moderate,96.72,1.81,Table I,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
HME-0051,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,SEED-IV,accuracy,90.73,3.26,yes,no,"labeled target (few-shot, 10-shot)","yes (few-shot, ~8% labeled target)",moderate,partial-match,target-labels,needs-adjudication,high,"Table II (FACE 10-shot: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23)",FACE SEED-IV 10-shot 90.73/3.26. Abstract 95.95.,yes,yes,target-labels,reclassify,moderate,95.95,1.47,Table I,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
HME-0052,EEG-0021,FACE: Few-shot Adapter with Cross-view Fusion for Cross-subject EEG Emotion Recognition,SEED-V,accuracy,94.63,2.23,yes,no,"labeled target (few-shot, 10-shot)","yes (few-shot, ~8% labeled target)",moderate,partial-match,target-labels,needs-adjudication,high,"Table II (FACE 10-shot: SEED 95.36/3.03, SEED-IV 90.73/3.26, SEED-V 94.63/2.23)",FACE SEED-V 10-shot 94.63/2.23.,yes,yes,target-labels,reclassify,moderate,98.95,0.36,Table II,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
HME-0113,EEG-0185,SSTM-IS: simplified STM method based on instance selection for real-time EEG emotion recognition,SEED,accuracy,86.78,6.65,yes,yes,labeled+unlabeled target (few-shot calibration),yes (small amount of labeled target),moderate,match,target-labels,needs-adjudication,high,"Results table (SSTM-IS SEED 86.78/6.65, SEED-IV 82.55/8.48)",SSTM-IS SEED 86.78/6.65 (@7s). Uses few LABELED target (calibration) - flag. Self-collected 77.68/5.13.,yes,yes,target-labels,reclassify,moderate,86.78,6.65,Table 1,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
HME-0114,EEG-0185,SSTM-IS: simplified STM method based on instance selection for real-time EEG emotion recognition,SEED-IV,accuracy,82.55,8.48,yes,no,labeled+unlabeled target (few-shot calibration),yes (small amount of labeled target),moderate,match,target-labels,needs-adjudication,high,"Results table (SSTM-IS SEED 86.78/6.65, SEED-IV 82.55/8.48)",SSTM-IS SEED-IV 82.55/8.48 (@4s).,yes,yes,target-labels,reclassify,moderate,82.55,8.48,Table 1,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
HME-0118,EEG-0187,Hybrid transfer learning strategy for cross-subject EEG emotion recognition (DFF-Net),SEED,accuracy,93.37,1.88,yes,yes,labeled+unlabeled target (DA + few-shot fine-tune),yes (few-shot fine-tuning on target),moderate,partial-match,target-labels,needs-adjudication,high,"Results (DFF-Net SEED 93.37/1.88; ablation: FT-only 88.09, DA-only 71.32)","DFF-Net SEED 93.37/1.88 (near-ceiling, tight std). Uses few-shot target-label fine-tuning -> not pure LOSO; flag for adjudication.",yes,yes,target-labels,reclassify,moderate,93.37,1.88,Table 3,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
HME-0134,EEG-0256,Deep Neural Network for Emotion Recognition Based on Meta-Transfer Learning,SEED,accuracy,77.5,8.8,yes,yes,labeled+unlabeled target (few-shot calibration),yes (few-shot target calibration),moderate,match,target-labels,needs-adjudication,high,"Results (SEED 77.5/8.8, SEED-IV 61.2/8.3)",Meta-transfer SEED 77.5/8.8 (few-shot target adaptation). Realistic; direct-transfer baseline 49.2%.,yes,yes,target-labels,reclassify,moderate,77.5,8.8,Table 3 + E. Model Testing and Ablation Experiments,"Uses labeled target samples; valid few-shot/target-label result, but not comparable with no-target LOSO or unlabeled UDA. reclassify to few-shot/target-label stratum"
