reviewer_row_id,paper_id,title,dataset_name,n_subjects,n_sessions,eeg_channels,sampling_rate_hz,emotion_model,class_labels,class_balance,preproc_in_cv,model_family,adaptation_method,target_data_used,target_labels_used,subject_independent,split_type,n_folds,cross_setting,train_val_test_separation,model_selection_strategy,metric,result_mean,result_sd,result_ci,per_subject_reported,statistical_test,mean_or_best,protocol_category,leakage_categories,risk_rating,risk_evidence,ambiguity_notes,include_meta,primary_result,verification_status,source_checked,reviewer_source_location,reviewer_notes,author_protocol_label,author_protocol_label_location,verified_protocol_from_methods,verified_protocol_evidence_location,protocol_label_match,protocol_mismatch_type,verified_subject_disjoint,target_access_verified,protocol_audit_decision,reviewer_protocol_confidence
HME-0001,EEG-0001,Exploring EEG Features in Cross-Subject Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,SVM + automatic feature selection (L1-norm),none (feature engineering; not DA),none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy (AUC also reported),83.33,not reported (single value; AUC 0.904),,no,none reported,mean,cross-subject LOSO (inductive),none,low,"LOSO subject-disjoint, no target access; realistic (SEED 83.33, DEAP 59.06). Foundational 2018 baseline.",,yes,yes,verified,full-text,Abstract/Results (SEED 83.33 AUC 0.904; DEAP 59.06 AUC 0.605),Foundational (Li et al 2018 Frontiers). SEED LOSO 83.33% (AUC 0.904). Also cross-subject manual-selection 64.82%.,cross-subject,Abstract,LOSO subject-independent (inductive),Abstract 'leave-one-subject-out verification strategy',match,,yes,none,pool-with-cross-subject,high
HME-0002,EEG-0001,Exploring EEG Features in Cross-Subject Emotion Recognition,DEAP,32,1,32,128 (downsampled),dimensional,binary (valence/arousal),,unclear,SVM + automatic feature selection (L1-norm),none (feature engineering; not DA),none,no,yes,leave-one-subject-out (LOSO),,cross-subject,subject-disjoint,unclear,accuracy (AUC also reported),59.06,not reported (single value; AUC 0.605),,no,none reported,mean,cross-subject LOSO (inductive),none,low,"LOSO subject-disjoint, no target access; realistic (SEED 83.33, DEAP 59.06). Foundational 2018 baseline.",,yes,no,verified,full-text,Abstract/Results (SEED 83.33 AUC 0.904; DEAP 59.06 AUC 0.605),DEAP LOSO 59.06% (AUC 0.605).,cross-subject,Abstract,LOSO subject-independent (inductive),Abstract 'leave-one-subject-out verification strategy',match,,yes,none,pool-with-cross-subject,high
HME-0003,EEG-0002,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced (per SEED design),unclear (released DE features; normalization boundary not specified),graph neural network (RGNN),node-wise domain adversarial training (NodeDAT) + EmotionDL,unlabeled-target (transductive; NodeDAT aligns source/target),no,yes,cross-subject subject-independent (follows prior-work settings [12][13][16]),unclear (subject-level holdout),cross-subject,subject-disjoint train/test; validation split not specified,unclear,accuracy,85.30,6.72,,no,none reported,mean,cross-subject transductive domain adaptation,none,low,subject-independent; NodeDAT uses only UNLABELED target (disclosed transductive DA); plausible accuracy,,yes,yes,verified,full-text,Table 3 (subject-independent mean/std); Sec 5.2.2,"RGNN SI results (full model, Table 3 ablation baseline row).",subject-independent,Abstract; Sec 5.2.2,subject-independent cross-subject with unlabeled target used (transductive DA),Sec 5.2.2; NodeDAT description Sec 4,match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0004,EEG-0002,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced (per SEED design),unclear (released DE features; normalization boundary not specified),graph neural network (RGNN),node-wise domain adversarial training (NodeDAT) + EmotionDL,unlabeled-target (transductive; NodeDAT aligns source/target),no,yes,cross-subject subject-independent (follows prior-work settings [12][13][16]),unclear (subject-level holdout),cross-subject,subject-disjoint train/test; validation split not specified,unclear,accuracy,73.84,8.02,,no,none reported,mean,cross-subject transductive domain adaptation,none,low,subject-independent; NodeDAT uses only UNLABELED target (disclosed transductive DA); plausible accuracy,,yes,no,verified,full-text,Table 3 (subject-independent mean/std); Sec 5.2.2,"RGNN SI results (full model, Table 3 ablation baseline row).",subject-independent,Abstract; Sec 5.2.2,subject-independent cross-subject with unlabeled target used (transductive DA),Sec 5.2.2; NodeDAT description Sec 4,match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0005,EEG-0003,Personalizing EEG-Based Affective Models with Transfer Learning,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,transfer learning (TCA/KPCA/T-SVM/TPT),transductive transfer (TPT best); no target labels,unlabeled-target (transductive),no,yes,"cross-subject (transductive, leave-subjects-out)",15,cross-subject,subject-disjoint,unclear,accuracy,76.31,15.89,,no,none reported,best (TPT of 5 methods),cross-subject transductive DA,none,low,"Foundational Zheng&Lu 2016. Transductive TL, no target labels. TPT SEED 76.31/15.89 (generic baseline 56.73).",,yes,yes,verified,full-text,Table 1 (TPT 76.31/15.89; T-SVM 72.53/14.00; generic 56.73),"FOUNDATIONAL (Zheng & Lu, IJCAI 2016). SEED transductive TPT 76.31/15.89 (best of TCA 63.64/KPCA 61.28/T-SVM 72.53/TPT 76.31). Generic classifier 56.73.",cross-subject / transfer learning,Abstract,cross-subject transductive TL (unlabeled target; TPT),"Sec 'transductive setup, without any labeled samples from target subjects'",match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0006,EEG-0004,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,"plug-and-play domain adaptation (PPDA, shared+private encoders)",few UNLABELED target calibration (<1 min); private-component modeling,unlabeled-target (transductive),no,yes,cross-subject (few unlabeled target calibration),15,cross-subject,subject-disjoint,unclear,accuracy,86.7,7.1,,no,none reported,mean,cross-subject transductive DA,none,low,Foundational Zhao AAAI 2021. Uses a FEW UNLABELED target samples for calibration (not labels); SEED ~86.7/7.1.,Between DA and DG: calibrates with few UNLABELED target data. std ~0.071.,yes,yes,verified,full-text,"Results (PPDA SEED ~86.7%, std ~0.071)","FOUNDATIONAL (Zhao/Yan/Lu, AAAI 2021, PPDA). SEED ~86.7/7.1 with <1-min calibration (few UNLABELED target).",cross-subject,Abstract,"cross-subject with few unlabeled target calibration (transductive, no target labels)",Abstract 'few unlabeled EEG data from incoming target subjects',match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0007,EEG-0005,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear (released DE features),graph neural network (DGCNN),none,none,no,yes,leave-one-subject-out (LOSO),15,cross-subject,subject-disjoint (14 train / 1 test),unclear,accuracy,79.95,9.02,,no,none reported,mean,cross-subject LOSO (inductive),none,low,"explicit LOSO subject-disjoint, no target access; realistic 79.95%",,yes,yes,verified,full-text,Table 3; Sec 4.2.2 (LOSO),DGCNN SEED subject-independent LOSO all-band DE = 79.95/9.02. DREAMER results in paper are subject-dependent (V/A/D).,subject-independent (LOSO cross-validation),Sec 4.2.2; Abstract,LOSO (leave-one-subject-out),Sec 4.2.2 'EEG data of 14 subjects are used for training',match,,yes,none,pool-with-cross-subject,high
HME-0008,EEG-0005,EEG Emotion Recognition Using Dynamical Graph Convolutional Neural Networks,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,graph neural network (DGCNN),none,none,no,no,subject-dependent (within-subject: 9 train / 6 test trials per subject),,within-subject,within-subject trial split,unclear,accuracy,90.40,8.49,,no,none reported,mean,subject-dependent,not-applicable (within-subject),n/a (not cross-subject),subject-dependent SEED result; not a cross-subject estimate,,no,no,verified,full-text,Table 2; Sec 4.2.1,"Subject-dependent SEED 90.40/8.49; included only as SD reference, excluded from cross-subject meta.",subject-dependent,Sec 4.2.1,subject-dependent (within-subject),Sec 4.2.1,match,,no,not-applicable,exclude-from-cross-subject-meta,high
HME-0009,EEG-0006,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,SEED,15,3,62,200 (downsampled),discrete/categorical,negative/neutral/positive (3),balanced,unclear,"multisource marginal distribution adaptation (MS-MDA, multi-branch)",multi-source marginal distribution DA (per-source branches),unlabeled-target (transductive),no,yes,cross-subject (LOO),15,cross-subject,subject-disjoint,unclear,accuracy,89.63,6.79,,no,none reported,mean,cross-subject transductive DA,none,low,Foundational MS-MDA (2021). Transductive multi-source; SEED 89.63/6.79.,,yes,yes,verified,full-text,"Results table (MS-MDA cross-subject SEED 89.63/6.79, SEED-IV 59.34/5.48)",FOUNDATIONAL MS-MDA. SEED cross-subject 89.63/6.79 (cross-session 88.56/7.80).,cross-subject,Abstract,cross-subject transductive multi-source DA (unlabeled target),Results table (MS-MDA(Ours) cross-subject column),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
HME-0010,EEG-0006,MS-MDA: Multisource Marginal Distribution Adaptation for Cross-Subject and Cross-Session EEG Emotion Recognition,SEED-IV,15,3,62,200 (downsampled),discrete/categorical,happy/sad/fear/neutral (4),balanced,unclear,"multisource marginal distribution adaptation (MS-MDA, multi-branch)",multi-source marginal distribution DA (per-source branches),unlabeled-target (transductive),no,yes,cross-subject (LOO),15,cross-subject,subject-disjoint,unclear,accuracy,59.34,5.48,,no,none reported,mean,cross-subject transductive DA,none,low,Foundational MS-MDA (2021). Transductive multi-source; SEED 89.63/6.79.,,yes,no,verified,full-text,"Results table (MS-MDA cross-subject SEED 89.63/6.79, SEED-IV 59.34/5.48)",MS-MDA SEED-IV cross-subject 59.34/5.48 (cross-session 61.43/15.71).,cross-subject,Abstract,cross-subject transductive multi-source DA (unlabeled target),Results table (MS-MDA(Ours) cross-subject column),match,,yes,unlabeled-target-data,pool-with-cross-subject,high
